project,inputRegEx
efp_triphysaria,"^(TrVeBC\d+_\d+\.\d{1,5})$|^(At\d[gcm]\d{1,6})$"
efp_triticale,^(Ta.\d+.\d+.\D+\d+_at)$
efp_tung_tree,^(Vf\d+G\d+)$
efp_wheat,"^(TraesCS\d\D\d{0,2}[G]\d{0,6}L*C*\.*\d*)$|^(TraesCSU\d+G\d+L*C*\.*\d*)$"
efpbarley,"^((HM|HV).*)$|^(HV.*_at)$|^(([0-9]{4,7})_(Reg|R)_([0-9]{2,4})-([0-9]{4})_at)$|^([0-9]{4,5}\.AF[0-9]{5}(_|_x_)at)$|^(A[0-9]{5}\.[0-9]{1}(_|_x_|_s_)at)$|^(([A-Z]{2}[0-9]{6}|[A-Z]{2}[0-9]{6}\.1)(_|_x_|_s_|_CDS-[0-9]{1,2}_|_CDS-[0-9]{1,2}_s_)at)$|^(AFFX-(BioB|BioC|BioDn|CreX|DapX|LysX|PheX|ThrX|TrpnX)-(3|5|M)_at)$|^(AFFX-r2-(Bs|Ec|P1)-(dap|lys|phe|thr|bioB|bioC|bioD|cre)-(3|5|M)(_|_x_|_s_)at)$|^(ChlorContig[0-9]{1,2}(_|_x_|_s_)at)$|^(((MitoContig|Contig)[0-9]{1,6})(_|_x_|_s_)at)$|^(D[0-9]{5}_at)$|^(Dhn[0-9]{2}\(Morex\)(_|_s_)at)$|^(E(Ban|Bca|Bed|Bem|Bes|Bma|Bpi|Bro)[0-9]{2}_SQ[0-9]{3}_[A-Z]{1}[0-9]{2}(_|_s_|_x_)at)$|^(Franka(_|_b_)3pri[0-9]{1,2}(_|_s_|_x_)at)$|^(H[A-Z]{1}[0-9]{1-4}[A-Z]{1}[0-9]{1,2}[a-z]{1}(_|_x_|_s_)at)$|^(HVSME[a-z]{1}[0-9]{4}[A-Z]{1}[0-9]{2}(r2|f)(_|_x_|_s_)at)$|^(HV_CEa[0-9]{4}[A-Z]{1}[0-9]{2}(r2|f)(_|_x_|_s_)at)$|^(H[A-Z]{1}[0-9]{2}[A-Z]{1}[0-9]{2}r(_|_x_|_s_)at)$|^(Mla([0-9]{1,2}|[0-9]{1,2}DH)(_orf_|_div5_|_5pri_|_5pri-|_consrvd_|_3pri12_)(3pri12|3pr|UTR_intron2|UTR_intron1|5pri_end)(_|_x_|_s_)at)$|^((Mla|Mlk)(_div5|_3pri12)(_|_x_|_s__at))$|^(S[0-9]{10}[A-Z]{1}[0-9]{2}[A-Z]{1}[0-9]{1}(_|_x_|_s_)at)$|^((b|rb)(aak|aal|ags|ah|asd)[0-9]{1,2}[a-z]{1}[0-9]{2}(_|_x_|_s_)at)$|^(([0-9]{4,7})_(Reg|R)_([0-9]{2,4})-([0-9]{4}))$|^([0-9]{4,5}\.AF[0-9]{5})$|^(A[0-9]{5}\.[0-9]{1})$|^([A-Z]{2}[0-9]{6}|[A-Z]{2}[0-9]{6}\.1)$|^(AFFX-(BioB|BioC|BioDn|CreX|DapX|LysX|PheX|ThrX|TrpnX))$|^(AFFX-r2-(Bs|Ec|P1)-(dap|lys|phe|thr|bioB|bioC|bioD|cre))$|^(ChlorContig[0-9]{1,2})$|^((MitoContig|Contig)[0-9]{1,6})$|^(D[0-9]{5})$|^(Dhn[0-9]{2}\(Morex\))$|^(E(Ban|Bca|Bed|Bem|Bes|Bma|Bpi|Bro)[0-9]{2}_SQ[0-9]{3}_[A-Z]{1}[0-9]{2})$|^(Franka(_|_b_)3pri[0-9]{1,2})$|^(H[A-Z]{1}[0-9]{1-4}[A-Z]{1}[0-9]{1,2}[a-z]{1})$|^(HVSME[a-z]{1}[0-9]{4}[A-Z]{1}[0-9]{2}(r2|f))$|^(HV_CEa[0-9]{4}[A-Z]{1}[0-9]{2}(r2|f))$|^(H[A-Z]{1}[0-9]{2}[A-Z]{1}[0-9]{2}r)$|^(Mla([0-9]{1,2}|[0-9]{1,2}DH)(_orf_|_div5_|_5pri_|_5pri-|_consrvd_|_3pri12_)(3pri12|3pr|UTR_intron2|UTR_intron1|5pri_end))$|^((Mla|Mlk)(_div5|_3pri12))$|^(S[0-9]{10}[A-Z]{1}[0-9]{2}[A-Z]{1}[0-9]{1})$|^((b|rb)(aak|aal|ags|ah|asd)[0-9]{1,2}[a-z]{1}[0-9]{2})$|^(HO)$|^(MLOC\.[0-9]{4,6}\.[0-9]{1,2})$|^(AK[0-9]{6}\.1)$|^(AJ[0-9]{6}\.1)$"
efpconfig,".{0,16}"
efpmedicago,"^(Medtr\d{1}g\d{6})$|^(Medtr\d{1}g\d{6}\.[0-9]{1})$|^(Mtr.\d{4,5}.1.[S1|S1_x|s1|s1_x]_at)$|^(AFFX-[Bio|Cre|Dap|Lys|Phe|Thr|Trpn][B|C|Dn|X]-[3|5|M]_at)$|^(AFFX-[Msa|Mtr]-[actin|gapc|gsta|ubq11|TrpnX]-[3|5|M]_[at|x_at|s_at])$|^(AFFX-Mtr|AFFX-r2-[Bs|Ec|P1]-[cre|dap|lys|phe|thr|bioB|bioC|bioD]-[3|5|M]_[at|s_at|x_at])$|^(AFFX-Mtr-ubq11-[3|5|M]_[at|s_at|x_at])$|^(AFFX-r2-Tag[A-Z]{1,2}_at|-3_at|-5_at|-M_at)$|^(Medtr_v1_\d{6})$"
efppop,"^(Ptp(Affx)?\.\d{1,6}\.\d{1,6}\.(A1|A2|S1|S2)_(x_at|s_at|at|a_at))$|^((eugene3)\.e{6,12})$|^((estExt_)(Genewise|fgenesh)(1|4)\_(v1|kg|pg|pm)(\.|\_v1\.)C_LG_\w{6,10})$|^((grail3.)\d{8,12})$|^((fgenesh)(1|4)\_(kg|pg|pm)\.C\_(scaffold|LG)\_\w{7,12})$|^((gw1)\.\w{1,6}\.\w{1,4}\.1)$|^((POPTR)\_[0-9]{4}s[0-9]{5}\.*[1-5]{0,1})$|^(Potri\.[0-9]{3}G[0-9]{6}\.[0-9]{1})$"
efprice,"^(LOC_Os[0-9]{2}g[0-9]{5})$|^((AFFX|AFFX-Os)(-|_)(Ubiquitin|Actin|Cyph|Gapdh|BioB|BioC|BioDn|CreX|DapX|LysX|PheX|ThrX|TrpnX|ef1a|gapdh)(-|_)(3|5|M)_(at|x_at|s_at))$|^(AFFX-OS-(18SrRNA|25SrRNA|5.8SrRNA)_(s_at|at))$|^((AFFX-Mgr-(actin|ef1a|gapdh)-(3|5|M))_(at|x_at|s_at))$|^(AFFX-r2-Tag(A|B|C|D|E|F|G|H)_at)$|^(AFFX-r2-Tag(IN|I|J|O|Q)-(3|5|M)_at)$|^((AFFX|AFFX-Os)-r2-(Bs|Ec|P1)-(dap|lys|phe|thr|bioB|bioC|bioD|cre)-(3|5|M)(_|_x_|_s_)at)$|^((Os|OsAffx)\.[0-9]{1,5}\.[0-9]{1}\.(S1|A1|S2)_(at|x_at|s_at|a_at))$"
efpsoybean,"^((Glyma\d{1,3}g\d{1,6}\.?\d?)$|^(Glyma\.\d{1,3}g\d{1,8}))$"
maizeefp,"^(AC[0-9]{6}\.[0-9]{1}_FG[0-9]{3})$|^(AC[0-9]{6}\.[0-9]{1}_FGT[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6})$|^(GRMZM(2|5)G[0-9]{6}_T[0-9]{2})$|^(Zm\d+d\d+)$|^(Zm\d{1,10}eb\d{1,10})$"
mouse_efp,"^(XM_\d{0,8}\.\d{0,3})$|^(\d{1,10}\D\d{0,4}\D{0,4})$|^(\D{1,8}\d{0,8}\D{0,8})$|^(ENSMUSG\d{1,15})$|^(NM_\d{0,12}\d.\d{0,3})$"
